ulasan_bersih,sentimen
aplikasi sampah pelayanan sampah cuihhhhh,negatif
coba lebih memanusiakan partner driver nya dan jgn semena mena,positif
susah sekali dapat drivernya,negatif
alhamdulillah puas bagus sih,positif
drivernya ramah ramah👍,positif
sebenarnya sy senang pakai gojek tp plis jgn lah sering update makin ribet makin mahal  jg lemot n lama dtg syg bgt,negatif
aplikasi cepat tanggap dapattp harga selalu berubah drastis kadang tinggi kadang dibawah kl ada promo,positif
mantap drivernya sopan,positif
kalo pesen gofood suka ditagih uang parkir terus kalo lewat toll ada tambahan uang toll dari drivernya itu kan tidak ada didaftar harga,netral
mantafpelayanan bagus,positif
lebih murah dr aplikasi sebelah,positif
kurir yg tanggung jawab salah titik tp ttp dianterin goodjob trm ksh,positif
tolong adakan fitur kritik dan saran ulasan langsung kepada toko yang cust beli setelah driver mengantar makanan karena saya mau memberi saran kepada toko tapi tidak ada muncul di home maupun di riwayatnya,positif
merasa kebantu untuk bepergian,positif
saya sangat suka sekali gojek,positif
aplikasinya sangat bagus dan membantu mau tambahin satu fitur lagi ngga kayak go mayat yg lagi viral di awreceh,positif
aplikasi yang sangat bagus,positif
cs nya sampah ga ada penyelesaian,negatif
puas banget pakai apl inimemudahkan kita untuk membeli sesuatu tanpa ribet,positif
pelit promo njirr beda ke si oren banyak terus walaupun dh lama ngk pesan banyak timbal balik nya buat jadi ingin pesan lg,negatif
aplikasi pembeli dan aplikasi penjualpun aku sangat puas pakai gojek secara aplikasi dalam negeri juga semoga berkembang terus dan bantu terus para pencari nafkah •,positif
awalnya senang menggunakan aplikasi ini tapi lama pelayanannya bekurangsaya transaksi disalah satu merchant dgn menggunakan gopay mengalami kendalagopay saya sdh terpotong tp transaksi dikasir gagal dan saya complain ke pihak gojek tapi tidak ada tanggapan,negatif
pelayanan sangat bagus tapi sayang saya tidak pernah ada keterlambtan bayar malah gopay later dikasih limit tapi gak bisa dipakai mengecewakan sekali,positif
bagus membuat banget,positif
terimakasih sangat membantu,positif
ini gopa ny kenapa yaaa keteranganya tidak ada internett padahal uda di coba wifi maupun data kuota,negatif
plyleter gojek parah pinjaman g sampai rb telat sehari rb udh ky pijol ilegalrentenir,negatif
jelek bgt astaga nyari driver mnt ga dapet,negatif
mantap makin maju makasii vouchernya ngebantu banget  apalagi skrg ada bundle voucher nya jd bisa lebih hemat dari bundle tetangga,positif
sangat membantu  mempermudah saya tak prnah telat bayar dan saya suka buka aplikasinya  mohon kerja samanya,positif
bayar tagihan selalu lancar  tepat waktu tapi paylater malah di blokir tidak ada solusi sama sekali,negatif
belanja lebih mudah,positif
driver pada nolak kalo misalnya pilih ongkos hemat kalo gitu udahlah hapus aja fitur hematnya,negatif
gojek mahal banget njir perjalanan ga ada  km kena k bangke memang padahal jalanan kampung ga macet sama sekali order diluar jam kerja tp bisa semahal itu njir,negatif
udh di update  selesai muter update lagi sampe × ada gitu mulu nanti kalo uninstal masukin email nomer telfon lagi,negatif
mantap kadang harus bertengkar dengan google maep👍🏼👍🏼👍🏼,positif
ty gojek semoga semakin banyak promo uang menarik,positif
bahaya nih paylater padahal sudah top up tapi saat bayar saya kadang salah pilih bukan nya pencet gopay malah paylater tiap bulan bayar  sedangkan transaksi cuma  ribuan udah gila kali ya bodo amat freeze aja akun saya menyesatkan nih gojek lama memanfaatkan kelengahan kalo bisa tombol paylater jangan ada saat mau bayar bersebelahan dengan gopay memang sepele tapi menyebalkan,negatif
cari driver lama banget payahhhh 👎👎👎👎👎,negatif
top bgt makasih gojek sukses selalu,positif
pelayanan bwi bagus,positif
jam lebih baru jadi pesanan,negatif
lumayan pelayanannya,positif
selalu ada promonya,positif
sangt buruk dpatnya jauh jauh driver nya,negatif
bagus dan nyaman,positif
fitur gosend kg itu paling useless mobilnya sama kek gocar harganya lebih mahal tapi kurir bantu angkat rewel,netral
drivernya susah dpt gofood,negatif
ini sangat luarbiasa,positif
ongkos sangat murah🤣,positif
semakin sempurna 👍,positif
drevernya cepat gesit waktu penjemputan ramah dan saat membawa motornya juga selalu hati hatigood luck,positif
makin cepat hemat,positif
sering up date aplikasi dg alasan blabla bukan makin mudah menggunakannya tapi membuat org makin susahsering lemotsusah order dllsy kecewa berat dg karya anak bangsatolong diperbaiki,negatif
baguss kereen okee,positif
gofood nya susah nyari driver lama banget,netral
saya seringkali mendapat order fiktif tapi ketika mereka cancel tetap performa saya jadi turunkenapa sekarang ini banyak sekali order fiktif apalagi waktu antara jam  sd  wita,positif
oke semoga kedepannya tambah oke,positif
secara umum pelayanan memuaskan,positif
kecewa sudah  kali pinjaman dan ga pernah telat dalam pembayaransaat mau pengajuan lagi di tolak terus 😂,negatif
sangat membantu aktivitas saya,positif
gojek sangat membantu saya sebagai lansia yg berusia  th yg masih menjalankan aktivitas di luar hampir  sampai  kali dalam  minggu saya selalu menggunakan fasilitas gojek yg relatif lebih terjangkau dan aman daripada menggunakan transportasi lainnya terimakasih gojek utk pelayanannya yg sangat baik sya berdoa agar gojek tetap langgeng beroperasi di bumi indonesia tercinta ini tuhan memberkati,positif
ok gampang penggunaannya,positif
suka banget memudahkan apapun,positif
senang sangat membantu,positif
menurut sayaapk ini sangat berguna untuk berpergian kemana pun dan mengantar kan kitamakanan dengan tepat waktu,positif
pesan makanan kayak pesan apaan makin kesini gak jelas nie gojek,negatif
memudahkan di segala situasi,positif
saya baru baru ini gk bisa akses lg trpor ke akuan fembayan fb ads,positif
mantap dan murah 👍👍👍,positif
sy kesulitan untuk go send jarang di ambil dan alasanny ada ada sj sy tanya bbrp driver knp jarang ambil gosend karena memang poin sm ongkosny tdk sesusi tolong kasih solusi ny biar driver bisa ambil go send yaa go jek,positif
apk mulai ga jelas udah nyalain lokasi malah lokasi yg mncul di t lain mau pesen gojekgofood selalu aja blg ada yg salahinternetnya mati pdahl wifi kenceng😕,negatif
dari dulu sampe sekarang cuma gojek doang top pokonya,positif
saran aja ini mah semoga driver gojek lebih sejahtera ya aamiin,positif
driver gocar terlalu jahat krna d batalin kita pesen smpai lama cuman nunggu drivernya yg mau slalu saya pesen d batalin snd rsm driver tolong ya min d perbaiki krna kshn buat orang tua yg nunggu,negatif
setiap sy dapat potongan harga dan sy pesan di saat hujan tak ada yang mau menerima saya tetapi jika sy pesan tanpa potongan harga banyak driver yg ingin mengangkut saya lalu apa gunanya di beri potongan harga dari gojek jika tdk ada driver yg ingin mengangkut kita,netral
gojek semakin maju dan sukses dan mensukseskan,positif
ramah dan nyaman,positif
pelayanannya oke,positif
titik maps selalu ga pas jarak nya jauh  driver bnyk mengeluh dan sering terjadi kesalahpahaman antar drier dan customer,netral
naikin harga seenaknya udh dapet harga pas malah dicancel terusan dan dipaksa batalkan pesanan pas buka lagi harganya naik x lipatnya shame on you gojek,negatif
buru mau beli obat malem malah gabisa katanya terlalu banyak mencet tombolkecewaaa,negatif
tolong bagi customer jgn pernah zolim terhadap driver ingat semua perbuatan kita akan di pertanggung jawabkan di akhir nanti,netral
semoga tmbh baik dlm pelayanan,positif
layanan memuaskan bagi konsumen,positif
berguna banget pokoknya mah,positif
voucher gofood nya cuma rb masih lebih gede  lebih banyak promo dari toko sebelah ayo dikembangkan lg biar pelanggan ga beralih ke toko sebelah,positif
saya kurangin  bintangkarna gopay pinjam saya selalu ditolak,positif
ngebantu bgt si kalau males kluar,positif
mudah dan tratasi,positif
baik bagus sopan terima kasih,positif
gojek merupaka trasportasi umum yang angat membantu masyarakat sehinggagojek menjadi trasportasi terbaik,positif
sudah beberapa kali order mhn peta diupdate jadi g salah jalan terakhir saya pake gocar bluebird ke daerah selatan jakarta pembayaran sdh melalui dilakukan melalui linkaja setelah selesai ternyata uang pembayaran kembali ke rekening linkaja dan saya diminta transfer ke rekening supir taksi ybs ini sebenernya yg salah dimana ya apakan dari internal gocar atau link aja padahal saldo cukup,positif
update ke gopay plus bikin pusing harus selfie dgn ktp yang jelas ga bisa auto fokus kameranya jadinya buram terus dan gagal terus buat update saya kecewa dengan pelayanan seperti ini,negatif
gajelas udh ganti pin gopay pas mau transaksi salah terus,negatif
penjemputan okeabangnya ramah,positif
sangat membantu tapi jangan bersikap arogan dan jangan suka melaggar peraturan lalulintas seperti yg pernah saya lihat banyak ojol melakukan kesalahan dalam berlalu lintas melawan arus,positif
upgrade gopay dipersulit  aplikasi apaan kagak guna buat apaan fungsinya buat connect ke tokped doang  sudah bolak balik hubungi cs soal keluhan balasannya tidak menyelesaikan psoalan gopaylater di blokir sepihak padahal sll bayar tepat waktu  ntar kalo pinjol sudah normal di rubah bintangnya,negatif
banyak promo cuy,positif
pelit promo gofoodkalau ada promo cuman bisa  ga bisa di gabungin pake promo aja di persulit harus pakai gopay dll entah kalau pakai ni apk kok jadi lebih mahal kesanya di banding sebelah,negatif
potonga besar untuk drivernya kasian drivernya,negatif
untuk pencarian drifer nya selalu dapat yg jauh padahal didekat tempat saya pesan gojek selalu di dekat drifer yg lg mangkal,netral
lama banget nunggu in pesenan go food nya hampir  jam kelaparan nunggu,negatif
selalu melayani sepenuh hati,positif
aplikasi mudah digunakan,positif
aplikasinya bagus saya jadi mudah untuk pergi ke mana pun dengan gojek tetapi saya kurang mendapatkan banyak voucher,negatif
kapanpun selalu ada,positif
semga lbh bagus lg ya,positif
sangat mengecewakan  upgrade x di proses  ini sudah x masih juga di proses  sangat lambat  balasan pun tidak membantu sekali sangat sangat mengecewakan,negatif
membuat hidup jadi mudah,positif
seringsering kasih diskon ya 😁,positif
setiqp hari pakai jasa gojek semoga makin ok pelayanan bapak driver makin sopan dan santundan menjaga keselamatan penumpang di jalan👍,positif
cepat dan terpercaya,positif
tolong ya untuk aplikator hilangin ongkos  nya tidak memanusiakan sekali ke driver nya tanpa driver kalian bukan apa bos camkan itu,negatif
pelayanan pengantaran bagus,positif
sangat membatu sekali buat saya,positif
pindah kesini lebih murmer 👍,positif
parah gojek ga bisa bayar pulsa pake paylater,positif
selalu jadi solusi terbaik,positif
di jemput pas habs sholat jumat berkah² a,positif
ngga bisa daftar giamana ini mau oder,positif
banyak diskon mantap,positif
sangat membantu dlm kehidupanku😄,positif
sangat membantu keseharian saya,positif
mantap amanah dan profesional bgt,positif
parah banget gue nungguin pesanan satu jam lebih gatau nya ga diproses sama restorannya dan ga bisa dibatalin parah banget,negatif
enak semua puas banget,positif
kelamaan apakah gak bisa langsung ada fitur batal aja karena kelamaan dapat driver harus nunggu dulu baru bisa batalkah,netral
cintaa banget sama gojekk promonya gokill,positif
pesan gojek  yg dateng  driver padahal pesanan sy cuman  dan driver yg ke  tiba marah ke saya dengan kata kata yg kurang berkenan dihati seakan akan itu salah saya padahal driver yg  nya sudah bilang bahwa itu kesalahan sistem,negatif
kalau pasti gak bisa pake gopay pinjam atau gopay latter gak usah di kasih iklannya payah,negatif
senang dengan aplikasi ini mudah digunakan dan drivernya ontime ramah dan menyenangkan terimakasih gojek sukses selalu 👍💪,positif
aplikasi nya bagus,positif
suka pakai apps nya,positif
eror apk ga bisa dibuka,negatif
beberapa bulan terakhir aku pesel ojol chatnya ga muncul atau bahkan delay tolong perbaiki yaa,negatif
udh beli go plus pelit kali sama discount voucher ya nyesal kali beli go plus gak worth itu kali,negatif
sopir nya ramah banget 👍👍,positif
wah kebanyakan nyoba tunggu dulu sebentar dan coba lagi udah ganti pin x gitu aja terus sampe indonesia menormalisasi lgbt,negatif
sudah lebih  tahun pake aplikasi ini dan alhamdulillah belum pernah kejadian saldo hilang tiba² karena transaksi palsu seperti aplikasi tetangga tingkatkan terus ya,positif
tidak bisa membuka go shop,positif
bagus tapi gak ada mie😳,positif
semoga lebih baik lagi kedepannya,positif
mempermudah segalanya,positif
gojek perluas jangkauan stand di bandara dong di international minangkabau airport kok gak ada stand nya gojek,positif
mau login tapi gabisa harus nunggu  menit padahal baru download aplikasinya sengaja ya bikin aku kecewa 😔🖐🏽,negatif
ga ada yang mau pick up,negatif
saya hapus aplikasi ini kecewa berat baru kali tidak belanja di go mart tiba ada belanja datang suruh bayar  hati hati teman dengan aplikasi ini,negatif
kecewa banget karna order makanan dan minuman tapi minumannya gak dateng sudah chat drivernya tapi centang satu gak direspon keknya udah diminum sama drivernya,negatif
makin kesini kok aplikasinya jelek ya kurang nyata dalam memberi info kadang aplikasi terlalu lama mencari kan driver saat pesan gofood,positif
aplikasi no se indonesia,positif
sangat membantu terima kasih,negatif
mantap untuk saat ini,positif
puas amanah semua yg pernah q order sehat driver ojol,positif
apk nya bagus sih sangat membantu tapi aneh nya di saya tidak ada notif mungkin kalo ada solusi bisa di bantu,positif
aplikasi gabisa ngitung beli gofood  rb  biaya penanganan sama ongkir  rb masa totalnya jadi rp termasuk voucher diskon rb beloon bener  mana diskonannya  total awalnya aja ngaco bodo bgt,negatif
tolong bantuannya untuk penemuan titik lokasi kenapa suka ndak pas ya di maps bikin pihak driver  costumer jadi ndak nyaman terimakasih,positif
setiap upgrade ke gopay plus selalu gagal bikin jengkel  gara kamera depanya jelek jadi hasil fotonya buram,negatif
untuk anak sekolahan seperti saya jarak dekat k itu cukup mahal  apa lagi kalau jarak jauh  ingin yang seperti lama harga ny bisa di jangkau anak sekolah hemat uang jajan,positif
cukup membantu,positif
mohon untuk pt gi yg terhormat agar meningkatkan lagi kualitas drivernya kalau bisa itu akun sama drivernya harus sama kalau bisa di berikan vermuk buat akun drivernya setiap hari supaya kelak kalau ada driver yv nakal ambil gopay cs atau dll gampang di lacakdi ketahui jadi kecil kemungkinan buat mereka driver nakal buat masalah karena akhir ini marak driver nakal karena akun yg mereka pakai bukan punya mereka sendri melainkan hasil beli akun terima kasih buat pt gi,positif
sangat terkesan dengan kemajuan teknologi yg mana aplikasi ini sangat membantu dalam segala hal dari transportasi hingga makanan semua difasilitasi oleh aplikasi ini keren deh pokoknya inovasi dri aplikasi ini,positif
thanks pak gojek bantu bangett aquuu,positif
saya kecewa dengan gojek dulu awal awal slalu dikasih voucher gratis ongkir gofood tapi sekarang sama sekali ga dapet voucher apa apa sangat mengecewakan konsumen,negatif
untuk yang udah update tapi ga bisa kebuka buka coba deh di uninstal dulu aplikasi gojeknya abis itu instal ulang pasti bisa kaya aku selamat mencoba,positif
adanya orderan goride hemat  gofood hemat dsb bikin rugi driver secara keseluruhan tolong dong di hapus orderan hemat nya  pake tarif normal aja,negatif
kenapa saya sekarang login bisa tapi mau order driver ga bisa malah map nya diem ajh ga nunjukin lokasi saya padahal verifikasi no udah lewat email malah ga bisa sama sekali udah dinulang ukang terus masih ga bisa gagal mulu sumpah kecewa banget sama gojek disaat ada kepentingan mendadak ga bisa banget buat di andelin fiks kecewa sama pihak gojek nya bukan driver nya,negatif
aplikasi yg sangat membatu ketika mager beli makanan keluar luar dan pas tidak punya motor bisa di anter,positif
makin buruk aplikasi ini nyesal aku beli paket gojek plus banyak makanan gofood discon saat mau pesan discon hnya berlaku pakai kartu bank tertentu tidak berlaku cash atau dengan gopay woi tak semua pakai py kartu bank mega atau lainnyataik buat keselbagus kuhapus saja pakai grab,negatif
lah gimana ceritanya pay later gua ga bisa di pake saban hari transaksi pake gojekgopay padahal aneh malah ga bisa di pake limit yang di tampilin k tapi ga bisa di aktifin pay later nya  kocak,negatif
solusi transportasi untuk kita,positif
bagus bgt aplikasinya bisa membantu kalau kita lagi butuh makananmau perjalanan jauh dan gk ada yg ngantar bisa pakai ini terimaksih aplikasi gojekkk,negatif
ni aplikasi error yah kalau lihat posisi driver dari tadi ga gerakdi situ aja udah  x ganti driver sama aja,netral
mohon maaf untuk upgrade gopay kapan selesai ini yg punya saya sudah lama banget masih proses terus kenapa ya  sementara bintang  dulu klo udah upgrade selesai baru bintang  🙏,negatif
bagaimana sih saya udah daftar gopayter gak bisa mau kasih apa gak jangan ngeledek saya capek ketikpadahal udah teranksai banyak tetap aja gak bisa,negatif
waktu aku pergi ke pulau bali dari kotaku jombang aku niak bis malam sampai di pulau bali pagi jam  aku pakai aplikasi gojek untuk diantar ke tujuan llancar pelayanannyaterima kasih gojek kamu emang bisa diandalkan dalam segala kepentingan,positif
coba kalo punya fitur gojeknya bisa pilih drivernya juga kayak yg di go life enak kali ya gak perlu go car melulu buat jaga jarak dan kalo darurat bisa lebih cepet,positif
bagusdan banyak membantu pekerjaan dan kebutuhan transportasihidup jd lebih mudahtolong pembayaran pdam surabaya di masukkan biar bayar tagihan cuma satu tempat ajatrims gojekbravo,positif
kenapa setelah diupgrade jadi tidak masuk kembali sering keluar sendiri tolong kerjasamanya jika tidak ingin rate dari apl gojek ini turun,negatif
pesanan sering ga bisa di batalkan drivernya lelet kalau di chat jarang ada voucher,negatif
tolong dong jek jangan update mulu tp ga ada perubahantolong d perbaiki mapsy yg kacau balau,negatif
saya suka gojek karna vouchernya memuaskan jadi bisa hemat dulu sekarang setelah di update terus vouchernya jadi berkurang dan sudah tidak memuaskan lagi 😢,positif
gak jelas lama lama masuk lagi cancel lagi  kaya gak mau kerja drivernya pilih pilih,negatif
saya ga prnh kasih bintang dibawah  utk aplikasi gojek tpi saldo di gopay saya udh berkurang  pulsa di hp saya gk masuk sampek skrg sya udh ajukan komplain ke pihak gojek ktnya hub providernya ehh pas hubungin cuma dilaporin trs blum tau tindak lnjutnya bner gak nyaman ats keslahan ini ☹ saya itu org yg jarng bgt komplain klo sya psen go food drivernya slah beli makanan sllu ttep saya kasih bintang  wlpun mereka telat jmput sya kasih bintang,netral
kalau beli makanan dipotong uangnya jauh lebih tinggi dari pesanan ciri nya si driver susah dihubungi ada juga driver bilangtoko makanannya sdh tutup drivernya minta kita yang canseltapi gopay sdh terpotonglalu kita pesan lagi via gojeg lain tokonya buka ada driver yg ngeyel lewat jalan muter muterdibilangin ngeyel tapi banyak juga driver yang sopan dan baik hatibiasa kalau begini saya kasih tip min ribu tergantung jarak tapi sejauh ini masih sangat baik,positif
masa driver di suruh cepet² karena saya kesiangan malah nyalahin saya gara² saya pesan pas lagi kesiangan bagaimana ini kualitas gojek pengemudi nya sangat tidak ramah,negatif
halo gojek saya pengguna lama gojek tp akhir ini saya ga bisa update  lalu saya unisntal dan instal ulang jd ga bisa trouble nya dmana ya smntara jaringan  memory dan chache settingan telepon smua udh di cek app yg lain bs saya instal hanya gojek saja yg ga bisa mohon bantuannya,positif
masih perlu di sempurnakan costumer kalau pilih rute sendiri di map blom bisa,netral
buat apa ada layanan gojek hemat kalau driver nya tidak mau menerima pesanan 🙄 ujungujungnya harus pakai paket biasa itupun juga belum tentu diterima,netral
aneh aplikasi ga respond waktu order pesanan masih sesuai waktu driver dateng layanan gosen ganti voucher tiba² ga detect asuransi tiba² dipakai boncos,negatif
iklan nya mengganggu sumpah masa lagi buka apk wa galeri iklan mulu parah sumpah buka apk ig iklan gomart buka apk tiktok iklan gomart payah terlalu memaksa ganggu co,negatif
gopay later saya di blok sampai saat ini aneh padahal saya pengguna gopay later yg menurut saya simple dan byr tagihan pun lancar aja,netral
udah pake pengiriman yg expres harganya lebih mahal biar cepet eh ini malah telat  menit  gmnh si,negatif
pengemudi susah kali di dapatkan kecewa sama aplikasinya lebih bagus pinda ke aplikasi ojol lainnya,negatif
top pokok nya,positif
bagus tapi ada kelemahannya sering konek sama yg driver jauh akhirnya sering cancel karena driver kejauhan dan kadang tidak nutut waktunya sampai tujuan,positif
gopaylater nggak bisa dibuka ada kendala apa ya gojek padahal mau dilunasi nanti giliran udh lwt tanggal  dimintain denda udh x lebih buka gopaylater gak bisa padahal kita gak selalu ada waktu buat mantengin hp tolong donk diperbaiki,negatif
untuk goride dan gocar harga hampir sama dengan kompetitornya cuma untuk ongkir gofood di gojek mahal mahal semua harga kalau kita beli di tempatnya sama di gofood jga selisihnya banyak,negatif
setelah saya mengeluh masalah update gopay plus dan direspon sekarang saya dpat merasakan semua fiturnya yg sangat membantu dan bagus terimakasih gojek,positif
wajah driver dengan diaplikasi beda takutnya terjadi apa apa diakun driver kasih verifikasi wajah yang ada waktunyabiar amandapat driver asli,negatif
pesan gofood dari jam  smpai jam  makanan belum sampai ternyata di cek pesanan dibatalkan tanpa ada notif masuk malesin,negatif
untuk pemakaian gopulsa tolong bisa langsung input nomer untuk jualan pulsa ke pelanggan jangan cuma bisa input nomer yang tersimpan di kontak hp saja salam driver,netral
apk sering error sering bilang ga ada jaringan pas lagi transaksi lagi genting malah ngelawak ga jelas,negatif
sering banget di cancel ga jelas lama lama nunggu malah nongol tulisan  akan kami carikan pengganti nya  kan kocak  saran mending grab  maxim,negatif
saya sudah mendaftarkan untuk jadi driver gojek tp sampai sekarang belum ada kejelasan cmn ada data terverifikasi dan gak tau sampe kapan nunggu kabar,positif
suka banget pesen makanan di gopud krna suka kasih promo yg gede tpi hari ini mlh error ya gbisa dibuka ada problem kah,positif
tolong untuk di maps tidak menjauhkan rute perjalanan yg seharusnya dekat tp di jauhin jd mahal,positif
aneh sudah  hari semenjak kode otp diganti sama link  akun saya tidak bisa login terus verifikasinya  padahal saya sudah nlp costumer service berulang ulang tapi tidak bisa bantu buat login lgsg,negatif
selalu dapat diandalkan di waktu tertentu pengalaman yang sangat menyenangkan terima kasih,positif
tolong diupdate dong ketentuan gojek plus yakali cuman diskon ongkir aja masa harga gak langganan gojek plus sama langganan sama plek gak ada perubahan,netral
sudah baguscuma kenapa diskon  nya hanya kartu kredit melulu isinya😂 pake paylater juga kaga ada,positif
dari tadi pagi gak bisa login terus udh restart hp udh uninstal trus install ulah juga masih tetap ga bisa ke buka padahal mau bayar gopay later,negatif
kesel bgt sama driver gofood nya baru kali ini dapet driver gofood gak sopan saya pesen pake mode hemat ya saya tau kalo itu lebih lama dan saya gak masalah driver nya chat duluan pake spam segala bilang titik nya jauh kakak pake mode hemat saya cuma dibayar  sama kantor gojek padahal di maps cuma  menit itukan fitur yg disediain sama gojek nya anjir pake komplain ke gue klo mau komplen ya ke gojeknya udh gue niatin kasih tip eh dia cancel pesenan nya gak sopan,negatif
sangat mudah transaksi apapun dan tranfer jadi lebih gampang sangat membantu sekalimesan kendaraan juga gampang dan makan juga gak repot,positif
hari ini saya edit penilaian saya untuk gojek parah abis  kali pesan yg pertama gak bergerak dipeta keterangan  menit sampek nyatanya  menit gak sampek yg k order lama jg skalinya ditelpon katanya gada trima orderan yg k map malah gak nampak lokasi ditelpon sm jg gada trima orderan ada apa dengan gojek kecewa,negatif
dapat driver harusnya datang dalam menit malah ga datang sama sekali harusnya gojek lebih disiplin sama drivernya orang lagi buru jadi rugi karena ginian update untuk  juli  gojek sekarang mau lapor soal pesanan tapi tidak membiarkan saya untuk upload foto selalu bilang timeout saya sudah rugi karena pesanan saya tidak sesuai driver juga tidak ada respon aplikasi juga tidak membiarkan saya untuk upload laporan saya,negatif
hari ini maunya go shop tp berulang kali dighosting driver ada yg malah sudah sampai toko tp tau batalin order padahal aku standby rugi aku nungguinpadahal dikasi order serius ilang giliran pada sepi awas aja ngeluh,negatif
saya sangat kecewa dengan aplikasi baru ini beda sama aplikasi lama aplikasi baru ini tidak bisa di cancle pesanan kita  gara tidak bisa di cancle saya jadi ribut dengan driver gojeknya,negatif
akhir akhir ini makin sering sering nunggu makanana lama tapi nggak dapat driver padahal saya di area kuta bali lo yg rame banget sama driver,negatif
asem lah bisa bisanya pesanan yang di taro keranjang udah lama malah kepesen mana harganya rb 🙄,netral
saya ngga bisa pesen go send selalu keluar apps udah di coba login log out wifi saya ngga bermasalah,negatif
mbok ya buat biaya pengiriman jangan mahal mahal pok o min mimin iya diskon  tapi habis buat biaya pengiriman doangsama aja anjiiiirrrr,negatif
makin kesini aplikasi ga jelas masa ga bisa pesan atau pun order gojek udah update aplikasi tetep aja ga bisa pesan atau pun order bacaan nya ke ditek mencurigakan  matamu mencurigakan aneh kecewa parah ama gojek  mending pindah ke apk sebelah aja lah  minta bantuan ga di tanggapi wassalam,negatif
kasihan driver nya jarak pengambilan nya gak kira kira jauhbikin telat waktu sayagak kaya maxim driver lebih dekat dan lebih murah,negatif
diskon nya ga stabil jadi kadang dipakai kadang tidak aplikasinya,negatif
saya kecewa bgt ongkir gofood nya dr kmren naik gak kira biasanya di resto yg saya beli onkir nya cuma rb skrg naik jd rb udahlah ada biaya tambahan aplikasi dll jd tambah mahal,negatif
selalu meningkatkan kualitas,positif
saya penggunan gojek  tapi knpa setiap mau order go food sllu ada ket aktifkan lokasi padahal lokasi sudah aktif dan buat pesan go ride aja bisa knpa go food susahh,negatif
aplikasi apa namanya ini pesan makan lalu dapat driver yang gak bisa ambil pesanan gak bisa ganti driver lagi tu bukan buat mudah malah buat susah,negatif
susah sekali mencari driver nya sampai berpuluh puluh kali mencoba ga dapat juga,negatif
gabisa login lewat email terkait  di pakai sesuai cara untuk menemukan email tetep ga bisa,negatif
apk eror kali ini di bawa muter jauh ga biasanya lewat jalan cepat,negatif
saya berikan apresiasi tinggi buat aplikasi inipelayanannya nyaman dan respek dalam situasi dan keadaansaya berharap gojek semakin maju dan boleh berkembang umtuk kebutuhan orang banyak 👍👍👍,positif
hadeh skrang klo kebanyakan cancel akunya di off  jam pdhal kesalahan drivernya yg alesan jauh lah tlpn resto nya dulu lah hey driver pada niat kerja gak kalian uninstal,negatif
tolong di perbaiki dong pembayaran ke ewalet dana sampai sekarang gak bisa ngirim melalui cmb niaga kalau gak bisa gak usah di buat trnasfer ke bank tersebut fitur bank nya banyak tapi gak guna terimakasih,negatif
aplikator pembangkang menghisap hak hak driver dan semua kebijakan aplikatornya tidak sedikit pun berpihak ke driver,negatif
habis update malah gak bisa pake jaringan seluler kalo pakai wifi baru bisa kan aneh kuota baru beli,negatif
pelayanan gocar yang bener bener pilih pilih sampe saya nunggu  jam masih juga belom dapet sama sekali,negatif
saya kasih bintang  soalnya untuk gocar pada terlalu sombong masa iya segitu banyak nya driver tp selalu mencari semoga aja pada sepih terus untuk gocar uninstal kita pindah ke grab,negatif
setelah update android  apps sering blank putih dan ketika order gofood jd srg crash atau apps tidak merespon tolong segera diperbaiki terima kasih,positif
top up terus tiba ketransfer ke gopay tabungan tanpa notifikasi udah gitulama sekali masuknya sampe skrg saldonya gajela kemana diriwayat transaksi juga statusnya hanya menunggu doang,positif
ada masalah di pengaturan metode pembayaran otp bri debitt dapet sms verifikasi tapi otp gak bisa diketik sama sekali,positif
hiini bagus sekekali aku dlu juga download inikarna naik harga lah ngga aku download lagitapi disini aku cuma bilang kasian untuk para gojek yg sering kena cancel pesanan gofood nyagmana kalau mau mesanbayar dlu baru mas nya pesan ke pelayankalau misalnya mas gojek nya ngga ngirimin juga pesanan baru di reportv ini juga untuk para mas mas gojek juga kan kasian udah d pesan makannan nya tapi d cancel,positif
waktu itu saya mesen tapi abang nya lama dan saya lagi buru buru lalu saya cancel ga lama abang yg saya cancel dateng marah marah ke saya dan bikin mokd saya jadi turun gw ga mau lagi pake apk ini orang nya g ramah bijakin lagi y orng ny supaya ramah jngn kebanyakan emosi nya,negatif
susah login nya verifikasi wajah gagal trus langsung uninstal,negatif
bnyk promo untuk makanan dan transportasi hrga nya bnr terjangkau daripada aplikasi ijo sblh,positif
kenapa sekarang kalau gomart tidak bisa memilih alfamartalfamidi terdekat dan tidak dipilihkan yang terdekat,negatif
apa cuma saya doang pas upgrade gopay plus berkali kali tetap di tolak padahal sudah mengikuti petunjuk² yang ada saya agak kecewa sihpadahal sudah ada saldonya,negatif
alhamdulillah ya berkat aplikasi ini saya gak usah repotrepot pulang pergi naik angkutan umum,positif
selalu membantu bagus,positif
pesen gofood lama banget satu jam lebih aplikasi kurang praktis,negatif
saya sangat kecewa dengan gojek sudah upgrade gopay plus berkalikali dari kemaren kemaren sampai saat ini di tolak terus saya sudah melakukan poto ktp dan selfi megang ktp dengan jelas dan benar tidak blur atau buram,negatif
saya pilih jasa standar bukan hemat saya dapat driver nggak pakai lama,positif
